Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
515,Magic Mike XXL,Comedy,Three years after Mike bowed out of the stripper life at the top of his game he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.,Gregory Jacobs,Channing Tatum,2015,115,5.7,42506,0.5,60
516,Easy A,Comedy,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,Will Gluck,Emma Stone,2010,92,7.1,294950,58.4,72
517,Exodus: Gods and Kings,Action,The defiant leader Moses rises up against the Egyptian Pharaoh Ramses setting 600000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.,Ridley Scott,Christian Bale,2014,150,6,137299,65.01,52
518,Chappie,Action,In the near future crime is patrolled by a mechanized police force. When one police droid Chappie is stolen and given new programming he becomes the first robot with the ability to think and feel for himself.,Neill Blomkamp,Sharlto Copley,2015,120,6.9,188769,31.57,41
519,The Hobbit: The Desolation of Smaug,Adventure,The dwarves along with Bilbo Baggins and Gandalf the Grey continue their quest to reclaim Erebor their homeland from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.,Peter Jackson,Ian McKellen,2013,161,7.9,513744,258.36,66
520,Half of a Yellow Sun,Drama,Sisters Olanna and Kainene return home to 1960s Nigeria where they soon diverge on different paths. As civil war breaks out political events loom larger than their differences as they join the fight to establish an independent republic.,Biyi Bandele,Chiwetel Ejiofor,2013,111,6.2,1356,0.05,51
521,Anthropoid,Biography,Based on the extraordinary true story of Operation Anthropoid the WWII mission to assassinate SS General Reinhard Heydrich the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.,Sean Ellis,Jamie Dornan,2016,120,7.2,24100,2.96,59
522,The Counselor,Crime,A lawyer finds himself in over his head when he gets involved in drug trafficking.,Ridley Scott,Michael Fassbender,2013,117,5.3,84927,16.97,48
523,Viking,Action,Kievan Rus late 10th century. After the death of his father the young Viking prince Vladimir of Novgorod is forced into exile across the frozen sea.,Andrey Kravchuk,Anton Adasinsky,2016,133,4.7,1830,23.05,57
524,Whiskey Tango Foxtrot,Biography,A journalist recounts her wartime coverage in Afghanistan.,Glenn Ficarra,Tina Fey,2016,112,6.6,36156,0.5,
525,Trust,Crime,A teenage girl is targeted by an online sexual predator.,David Schwimmer,Clive Owen,2010,106,7,36043,0.06,60
526,Birth of the Dragon,Action,Young up-and-coming martial artist Bruce Lee challenges legendary kung fu master Wong Jack Man to a no-holds-barred fight in Northern California.,George Nolfi,Billy Magnussen,2016,103,3.9,552,93.05,61
527,Elysium,Action,In the year 2154 the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.,Neill Blomkamp,Matt Damon,2013,109,6.6,358932,0.5,
528,The Green Inferno,Adventure,A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone and that no good deed goes unpunished.,Eli Roth,Lorenza Izzo,2013,100,5.4,26461,7.19,38
529,Godzilla,Action,The world is beset by the appearance of monstrous creatures but one of them may be the only one who can save humanity.,Gareth Edwards,Aaron Taylor-Johnson,2014,123,6.4,318058,200.66,62
530,The Bourne Legacy,Action,An expansion of the universe from Robert Ludlum's novels centered on a new hero whose stakes have been triggered by the events of the previous three films.,Tony Gilroy,Jeremy Renner,2012,135,6.7,245374,113.17,61
531,A Good Year,Comedy,A British investment broker inherits his uncle's chateau and vineyard in Provence where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.,Ridley Scott,Russell Crowe,2006,117,6.9,74674,7.46,47
532,Friend Request,Horror,When a college student unfriends a mysterious girl online she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends.,Simon Verhoeven,Alycia Debnam-Carey,2016,92,5.4,12758,64.03,59
533,Deja Vu,Action,After a ferry is bombed in New Orleans an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber but soon finds himself becoming obsessed with one of the victims.,Tony Scott,Denzel Washington,2006,126,7,253858,0.5,
534,Lucy,Action,A woman accidentally caught in a dark deal turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.,Luc Besson,Scarlett Johansson,2014,89,6.4,352698,126.55,61
535,A Quiet Passion,Biography,The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive unrecognized artist.,Terence Davies,Cynthia Nixon,2016,125,7.2,1024,1.08,77
536,Need for Speed,Action,Fresh from prison a street racer who was framed by a wealthy business associate joins a cross country race with revenge in mind. His ex-partner learning of the plan places a massive bounty on his head as the race begins.,Scott Waugh,Aaron Paul,2014,132,6.5,143389,43.57,39
537,Jack Reacher,Action,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,Christopher McQuarrie,Tom Cruise,2012,130,7,250811,58.68,50
538,The Do-Over,Action,Two down-on-their-luck guys decide to fake their own deaths and start over with new identities only to find the people they're pretending to be are in even deeper trouble.,Steven Brill,Adam Sandler,2016,108,5.7,24761,0.54,22
539,True Crimes,Crime,"A murder investigation of a slain business man turns to clues found in an author's book about an eerily similar crime. Based on the 2008 article ""True Crimes - A postmodern murder mystery"" by David Grann.",Alexandros Avranas,Jim Carrey,2016,92,7.3,198,0.5,43
540,American Pastoral,Crime,An All-American college star and his beauty queen wife watch their seemingly perfect life fall apart as their daughter joins the turmoil of '60s America.,Ewan McGregor,Ewan McGregor,2016,108,6.1,7115,0.5,
541,The Ghost Writer,Mystery,A ghostwriter hired to complete the memoirs of a former British prime minister uncovers secrets that put his own life in jeopardy.,Roman Polanski,Ewan McGregor,2010,128,7.2,137964,15.52,77
542,Limitless,Mystery,With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities a struggling writer becomes a financial wizard but it also puts him in a new world with lots of dangers.,Neil Burger,Bradley Cooper,2011,105,7.4,444417,79.24,59
543,Spectral,Action,A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,Nic Mathieu,James Badge Dale,2016,107,6.3,27042,0.5,39
544,P.S. I Love You,Drama,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,Richard LaGravenese,Hilary Swank,2007,126,7.1,177247,53.68,
545,Zipper,Drama,A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.,Mora Stephens,Patrick Wilson,2015,103,5.7,4912,0.5,39
546,Midnight Special,Drama,A father and son go on the run pursued by the government and a cult drawn to the child's special powers.,Jeff Nichols,Michael Shannon,2016,112,6.7,54787,3.71,76
547,Don't Think Twice,Comedy,When a member of a popular New York City improv troupe gets a huge break the rest of the group - all best friends - start to realize that not everyone is going to make it after all.,Mike Birbiglia,Keegan-Michael Key,2016,92,6.8,10485,4.42,83
548,Alice in Wonderland,Adventure,Nineteen-year-old Alice returns to the magical world from her childhood adventure where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.,Tim Burton,Mia Wasikowska,2010,108,6.5,324898,334.19,53
549,Chuck,Biography,A drama inspired by the life of heavyweight boxer Chuck Wepner.,Philippe Falardeau,Elisabeth Moss,2016,98,6.8,391,0.11,68
550,I Daniel,Drama,After having suffered a heart-attack a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.,Ken Loach,Dave Johns,2016,100,7.9,22941,0.5,77
551,The Break-Up,Comedy,In a bid to keep their luxurious condo from their significant other a couple's break-up proceeds to get uglier and nastier by the moment.,Peyton Reed,Jennifer Aniston,2006,106,5.8,106381,118.68,45
552,Loving,Biography,The story of Richard and Mildred Loving a couple whose arrest for interracial marriage in 1960s Virginia began a legal battle that would end with the Supreme Court's historic 1967 decision.,Jeff Nichols,Ruth Negga,2016,123,7.1,17141,7.7,79
553,Fantastic Four,Action,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,Josh Trank,Miles Teller,2015,100,4.3,121847,56.11,27
554,The Survivalist,Drama,In a time of starvation a survivalist lives off a small plot of land hidden deep in forest. When two women seeking food and shelter discover his farm he finds his existence threatened.,Stephen Fingleton,Mia Goth,2015,104,6.3,9187,0.5,80
555,Colonia,Drama,A young woman's desperate search for her abducted boyfriend that draws her into the infamous Colonia Dignidad a sect nobody has ever escaped from.,Florian Gallenberger,Emma Watson,2015,106,7.1,30074,0.5,33
556,The Boy Next Door,Mystery,A woman separated from her unfaithful husband falls for a younger man who has moved in next door but their torrid affair soon takes a dangerous turn.,Rob Cohen,Jennifer Lopez,2015,91,4.6,30180,35.39,30
