Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
269,X-Men Origins: Wolverine,Action,A look at Wolverine's early life in particular his time with the government squad Team X and the impact it will have on his later years.,Gavin Hood,Hugh Jackman,2009,107,6.7,388447,179.88,40
270,Satanic,Horror,Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites,Jeffrey G. Hunt,Sarah Hyland,2016,85,3.7,2384,0.5,
271,Skyfall,Action,Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack 007 must track down and destroy the threat no matter how personal the cost.,Sam Mendes,Daniel Craig,2012,143,7.8,547386,304.36,81
272,The Hobbit: An Unexpected Journey,Adventure,A reluctant hobbit Bilbo Baggins sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.,Peter Jackson,Martin Freeman,2012,169,7.9,668651,303,58
273,21 Jump Street,Action,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,Phil Lord,Jonah Hill,2012,110,7.2,432046,138.45,69
274,Sing Street,Comedy,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,John Carney,Ferdia Walsh-Peelo,2016,106,8,52144,3.23,79
275,Ballerina,Animation,An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris where she passes for someone else and accedes to the position of pupil at the Grand Opera house.,Eric Summer,Elle Fanning,2016,89,6.8,4729,0.5,
276,Oblivion,Action,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,Joseph Kosinski,Tom Cruise,2013,124,7,410125,89.02,54
277,22 Jump Street,Action,After making their way through high school (twice) big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.,Phil Lord,Channing Tatum,2014,112,7.1,280110,191.62,71
278,Zodiac,Crime,In the late 1960s/early 1970s a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer an unidentified individual who terrorizes Northern California with a killing spree.,David Fincher,Jake Gyllenhaal,2007,157,7.7,329683,33.05,78
279,Everybody Wants Some!!,Comedy,In 1980,Richard Linklater,Blake Jenner,2016,117,7,36312,3.37,83
280,Iron Man Three,Action,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin he starts an odyssey of rebuilding and retribution.,Shane Black,Robert Downey Jr.,2013,130,7.2,591023,408.99,62
281,Now You See Me,Crime,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,Louis Leterrier,Jesse Eisenberg,2013,115,7.3,492324,117.7,50
282,Sherlock Holmes,Action,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie,Robert Downey Jr.,2009,128,7.6,501769,209.02,57
283,Death Proof,Thriller,Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.,dir, actor, 2007,113,7.1,220236,0.5,
284,The Danish Girl,Biography,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,Tom Hooper,Eddie Redmayne,2015,119,7,110773,12.71,66
285,Hercules,Action,Having endured his legendary twelve labors Hercules the Greek demigod has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.,Brett Ratner,Dwayne Johnson,2014,98,6,122838,72.66,47
286,Sucker Punch,Action,A young girl is institutionalized by her abusive stepfather retreating to an alternative reality as a coping strategy envisioning a plan to help her escape.,Zack Snyder,Emily Browning,2011,110,6.1,204874,36.38,33
287,Keeping Up with the Joneses,Action,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,Greg Mottola,Zach Galifianakis,2016,105,5.8,30405,14.9,34
288,Jupiter Ascending,Action,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,Lana Wachowski,Channing Tatum,2015,127,5.3,150121,47.38,40
289,Masterminds,Action,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.,Jared Hess,Zach Galifianakis,2016,95,5.8,26508,17.36,47
290,Iris,Thriller,Iris,Jalil Lespert,Romain Duris,2016,99,6.1,726,0.5,
291,Busanhaeng,Action,While a zombie virus breaks out in South Korea passengers struggle to survive on the train from Seoul to Busan.,Sang-ho Yeon,Yoo Gong,2016,118,7.5,58782,2.13,72
292,Pitch Perfect,Comedy,Beca a freshman at Barden University is cajoled into joining The Bellas her school's all-girls singing group. Injecting some much needed energy into their repertoire The Bellas take on their male rivals in a campus competition.,Jason Moore,Anna Kendrick,2012,112,7.2,226631,65,66
293,Neighbors 2: Sorority Rising,Comedy,When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there,Nicholas Stoller,Seth Rogen,2016,92,5.7,76327,55.29,58
294,The Exception,Drama,A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II,David Leveaux,Lily James,2016,107,7.7,96,0.5,
295,Man of Steel,Action,Clark Kent one of the last of an extinguished race disguised as an unremarkable human is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.,Zack Snyder,Henry Cavill,2013,143,7.1,577010,291.02,55
296,The Choice,Drama,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,Ross Katz,Benjamin Walker,2016,111,6.6,20514,18.71,26
297,Ice Age: Collision Course,Animation,Manny Diego and Sid join up with Buck to fend off a meteor strike that would destroy the world.,Mike Thurmeier,Ray Romano,2016,94,5.7,34523,64.06,34
298,The Devil Wears Prada,Comedy,A smart but sensible new graduate lands a job as an assistant to Miranda Priestly the demanding editor-in-chief of a high fashion magazine.,David Frankel,Anne Hathaway,2006,109,6.8,302268,124.73,62
299,The Infiltrator,Biography,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,Brad Furman,Bryan Cranston,2016,127,7.1,43929,15.43,66
300,There Will Be Blood,Drama,A story of family religion hatred oil and madness focusing on a turn-of-the-century prospector in the early days of the business.,Paul Thomas Anderson,Daniel Day-Lewis,2007,158,8.1,400682,40.22,92
301,The Equalizer,Action,A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters he can't stand idly by - he has to help her.,Antoine Fuqua,Denzel Washington,2014,132,7.2,249425,101.53,57
302,Lone Survivor,Action,Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.,Peter Berg,Mark Wahlberg,2013,121,7.5,218996,125.07,60
303,The Cabin in the Woods,Horror,Five friends go for a break at a remote cabin,Drew Goddard,Kristen Connolly,2012,95,7,295554,42.04,72
304,The House Bunny,Comedy,After Playboy bunny Shelley is kicked out of the playboy mansion she finds a job as the house mother for a sorority full of socially awkward girls.,Fred Wolf,Anna Faris,2008,97,5.5,67033,48.24,55
305,She's Out of My League,Comedy,An average Joe meets the perfect woman but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.,Jim Field Smith,Jay Baruchel,2010,104,6.4,105619,31.58,46
306,Inherent Vice,Comedy,In 1970 drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.,Paul Thomas Anderson,Joaquin Phoenix,2014,148,6.7,69509,8.09,81
307,Alice Through the Looking Glass,Adventure,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,James Bobin,Mia Wasikowska,2016,113,6.2,57207,77.04,34
308,Vincent N Roxxy,Crime,A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.,Gary Michael Schultz,Emile Hirsch,2016,110,5.5,403,0.5,
309,The Fast and the Furious: Tokyo Drift,Action,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,Justin Lin,Lucas Black,2006,104,6,193479,62.49,45
310,How to Be Single,Comedy,A group of young adults navigate love and relationships in New York City.,Christian Ditter,Dakota Johnson,2016,110,6.1,59886,46.81,51
311,The Blind Side,Biography,The story of Michael Oher a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.,John Lee Hancock,Quinton Aaron,2009,129,7.7,237221,255.95,53
312,La vie d'Adèle,Drama,Adèle's life is changed when she meets Emma a young woman with blue hair who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others Adèle grows seeks herself loses herself and ultimately finds herself through love and loss.,Abdellatif Kechiche,Léa Seydoux,2013,180,7.8,103150,2.2,88
313,The Babadook,Drama,A single mother plagued by the violent death of her husband battles with her son's fear of a monster lurking in the house but soon discovers a sinister presence all around her.,Jennifer Kent,Essie Davis,2014,93,6.8,132580,0.92,86
314,The Hobbit: The Battle of the Five Armies,Adventure,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,Peter Jackson,Ian McKellen,2014,144,7.4,385598,255.11,59
315,Harry Potter and the Order of the Phoenix,Adventure,With their warning about Lord Voldemort's return scoffed at Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.,David Yates,Daniel Radcliffe,2007,138,7.5,385325,292,71
316,Snowpiercer,Action,Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer a train that travels around the globe where a class system emerges.,Bong Joon Ho,Chris Evans,2013,126,7,199048,4.56,84
317,The 5th Wave,Action,Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run desperately trying to save her younger brother.,J Blakeson,Chloë Grace Moretz,2016,112,5.2,73093,34.91,33
318,The Stakelander,Action,When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter Mister to guide him.,Dan Berk,Connor Paolo,2016,81,5.3,1263,0.5,
319,The Visit,Comedy,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,M. Night Shyamalan,Olivia DeJonge,2015,94,6.2,81429,65.07,55
320,Fast Five,Action,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,Justin Lin,Vin Diesel,2011,131,7.3,300803,209.81,66
321,Step Up,Crime,Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school gaining him the chance to earn a scholarship and dance with an up and coming dancer Nora.,Anne Fletcher,Channing Tatum,2006,104,6.5,95960,65.27,48
322,Lovesong,Drama,The relationship between two friends deepens during an impromptu road trip.,So Yong Kim,Riley Keough,2016,84,6.4,616,0.01,74
323,RocknRolla,Action,In London a real-estate scam puts millions of pounds up for grabs attracting some of the city's scrappiest tough guys and its more established underworld types all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »,Guy Ritchie,Gerard Butler,2008,114,7.3,203096,5.69,53
324,In Time,Action,In a future where people stop aging at 25 but are engineered to live only one more year having the means to buy your way out of the situation is a shot at immortal youth. Here Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.,Andrew Niccol,Justin Timberlake,2011,109,6.7,319025,37.55,53
325,The Social Network,Biography,Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook but is later sued by two brothers who claimed he stole their idea and the co-founder who was later squeezed out of the business.,David Fincher,Jesse Eisenberg,2010,120,7.7,510100,96.92,95
326,The Last Witch Hunter,Action,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,Breck Eisner,Vin Diesel,2015,106,6,71149,27.36,34
327,Victor Frankenstein,Drama,Told from Igor's perspective we see the troubled young assistant's dark origins his redemptive friendship with the young medical student Viktor Von Frankenstein and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.,Paul McGuigan,Daniel Radcliffe,2015,110,6,37975,5.77,36
328,A Street Cat Named Bob,Biography,Based on the international best selling book. The true feel good story of how James Bowen a busker and recovering drug addict had his life transformed when he met a stray ginger cat.,Roger Spottiswoode,Luke Treadaway,2016,103,7.4,12643,0.04,54
329,Green Room,Crime,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,Jeremy Saulnier,Anton Yelchin,2015,95,7,62885,3.22,79
330,Blackhat,Crime,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,Michael Mann,Chris Hemsworth,2015,133,5.4,43085,7.1,51
331,Storks,Animation,Storks have moved on from delivering babies to packages. But when an order for a baby appears the best delivery stork must scramble to fix the error by delivering the baby.,Nicholas Stoller,Andy Samberg,2016,87,6.9,34248,72.66,56
332,American Sniper,Action,Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty however Chris finds that it is the war he can't leave behind.,Clint Eastwood,Bradley Cooper,2014,133,7.3,353305,350.12,72
333,Dallas Buyers Club,Biography,In 1985 Dallas electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.,Jean-Marc Vallée,Matthew McConaughey,2013,117,8,352801,27.3,84
334,Lincoln,Biography,As the War continues to rage America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.,Steven Spielberg,Daniel Day-Lewis,2012,150,7.4,207497,182.2,86
335,Rush,Action,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,Daniel Brühl,2013,123,8.1,339722,26.9,75
336,Before I Wake,Drama,A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.,Mike Flanagan,Kate Bosworth,2016,97,6.1,18201,0.5,
337,Silver Linings Playbook,Comedy,After a stint in a mental institution former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany a mysterious girl with problems of her own.,David O. Russell,Bradley Cooper,2012,122,7.8,564364,132.09,81
338,Tracktown,Drama,A young talented and lonely long-distance runner twists her ankle as she prepares for the Olympic Trials and must do something she's never done before: take a day off.,Alexi Pappas,Alexi Pappas,2016,88,5.9,115,0.5,64
339,The Fault in Our Stars,Drama,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,Josh Boone,Shailene Woodley,2014,126,7.8,271301,124.87,69
340,Blended,Comedy,After a bad blind date a man and woman find themselves stuck together at a resort for families where their attraction grows as their respective kids benefit from the burgeoning relationship.,Frank Coraci,Adam Sandler,2014,117,6.5,93764,46.28,31
341,Fast & Furious,Action,Brian O'Conner back working for the FBI in Los Angeles teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.,Justin Lin,Vin Diesel,2009,107,6.6,217464,155.02,46
342,Looper,Action,In 2074 when the mob wants to get rid of someone the target is sent into the past where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.,Rian Johnson,Joseph Gordon-Levitt,2012,119,7.4,452369,66.47,84
343,White House Down,Action,While on a tour of the White House with his young daughter a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.,Roland Emmerich,Channing Tatum,2013,131,6.4,173320,73.1,52
344,Pete's Dragon,Adventure,The adventures of an orphaned boy named Pete and his best friend Elliot who just so happens to be a dragon.,David Lowery,Bryce Dallas Howard,2016,102,6.8,36322,76.2,71
345,Spider-Man 3,Action,A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains temptations and revenge.,Sam Raimi,Tobey Maguire,2007,139,6.2,406219,336.53,59
346,The Three Musketeers,Action,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,Paul W.S. Anderson,Logan Lerman,2011,110,5.8,92329,20.32,35
347,Stardust,Adventure,In a countryside town bordering on a magical land a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.,Matthew Vaughn,Charlie Cox,2007,127,7.7,220664,38.35,66
348,American Hustle,Crime,A con man Irving Rosenfeld along with his seductive partner Sydney Prosser is forced to work for a wild FBI agent Richie DiMaso who pushes them into a world of Jersey powerbrokers and mafia.,David O. Russell,Christian Bale,2013,138,7.3,379088,150.12,90
349,Jennifer's Body,Comedy,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,Karyn Kusama,Megan Fox,2009,102,5.1,96617,16.2,47
350,Midnight in Paris,Comedy,While on a trip to Paris with his fiancée's family a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.,Woody Allen,Owen Wilson,2011,94,7.7,320323,56.82,81
351,Lady Macbeth,Drama,Set in 19th century rural England,William Oldroyd,Florence Pugh,2016,89,7.3,1396,0.5,83
352,Joy,Drama,Joy is the story of the title character,David O. Russell,Jennifer Lawrence,2015,124,6.6,97679,56.44,56
353,The Dressmaker,Comedy,A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style she transforms the women and exacts sweet revenge on those who did her wrong.,Jocelyn Moorhouse,Kate Winslet,2015,119,7.1,33352,2.02,47
354,Café Society,Comedy,In the 1930s a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.,Woody Allen,Jesse Eisenberg,2016,96,6.7,45579,11.08,64
355,Insurgent,Adventure,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Robert Schwentke,Shailene Woodley,2015,119,6.3,171970,130,42
356,Seventh Son,Action,When Mother Malkin the queen of evil witches escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice he recruits young Tom the seventh son of the seventh son to help him.,Sergei Bodrov,Ben Barnes,2014,102,5.5,59958,17.18,30
357,Demain tout commence,Comedy,Samuel parties hard in the Marseille area of France and is awoken one morning by a woman carrying a baby she claims is his. She drives off leaving him with a wailing infant; he gives chase ... See full summary »,Hugo Gélin,Omar Sy,2016,118,7.4,5496,0.5,
358,The Theory of Everything,Biography,A look at the relationship between the famous physicist Stephen Hawking and his wife.,James Marsh,Eddie Redmayne,2014,123,7.7,299718,35.89,72
359,This Is the End,Comedy,While attending a party at James Franco's house Seth Rogen Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse.,Evan Goldberg,James Franco,2013,107,6.6,327838,101.47,67
360,About Time,Comedy,At the age of 21 Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.,Richard Curtis,Domhnall Gleeson,2013,123,7.8,221600,15.29,55
361,Step Brothers,Comedy,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,Adam McKay,Will Ferrell,2008,98,6.9,223065,100.47,51
362,Clown,Horror,A loving father finds a clown suit for his son's birthday party only to realize that it is not a suit at all.,Jon Watts,Andy Powers,2014,100,5.7,14248,0.05,42
363,Star Trek Into Darkness,Action,After the crew of the Enterprise find an unstoppable force of terror from within their own organization Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.,J.J. Abrams,Chris Pine,2013,132,7.8,417663,228.76,72
364,Zombieland,Adventure,A shy student trying to reach his family in Ohio a gun-toting tough guy trying to find the last Twinkie and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.,Ruben Fleischer,Jesse Eisenberg,2009,88,7.7,409403,75.59,73
365,Hail,Comedy,A Hollywood fixer in the 1950s works to keep the studio's stars in line.,Ethan Coen,Josh Brolin,2016,106,6.3,89059,30,72
366,Slumdog Millionaire,Drama,A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of "Who Wants to be a Millionaire?",dir, actor, 2008,120,8,677044,141.32,86
367,The Twilight Saga: Breaking Dawn - Part 2,Adventure,After the birth of Renesmee the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.,Bill Condon,Kristen Stewart,2012,115,5.5,194329,292.3,52
368,American Wrestler: The Wizard,Drama,In 1980 a teenage boy escapes the unrest in Iran only to face more hostility in America due to the hostage crisis. Determined to fit in he joins the school's floundering wrestling team.,Alex Ranarivelo,William Fichtner,2016,117,6.9,286,0.5,
369,The Amazing Spider-Man,Action,After Peter Parker is bitten by a genetically altered spider he gains newfound spider-like powers and ventures out to solve the mystery of his parent's mysterious death.,Marc Webb,Andrew Garfield,2012,136,7,474320,262.03,66
370,Ben-Hur,Action,Judah Ben-Hur a prince falsely accused of treason by his adopted brother an officer in the Roman army returns to his homeland after years at sea to seek revenge but finds redemption.,Timur Bekmambetov,Jack Huston,2016,123,5.7,28326,26.38,38
371,Sleight,Action,A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing and turns to illegal activities to keep a roof over their heads. When he gets in ... See full summary »,J.D. Dillard,Jacob Latimore,2016,89,6,702,3.85,62
372,The Maze Runner,Action,Thomas is deposited in a community of boys after his memory is erased soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.,Wes Ball,Dylan O'Brien,2014,113,6.8,335531,102.41,57
373,Criminal,Action,In a last-ditch effort to stop a diabolical plot a dead CIA operative's memories secrets and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.,Ariel Vromen,Kevin Costner,2016,113,6.3,38430,14.27,36
374,Wanted,Action,A frustrated office worker learns that he is the son of a professional assassin and that he shares his father's superhuman killing abilities.,Timur Bekmambetov,Angelina Jolie,2008,110,6.7,312495,134.57,64
375,Florence Foster Jenkins,Biography,The story of Florence Foster Jenkins a New York heiress who dreamed of becoming an opera singer despite having a terrible singing voice.,Stephen Frears,Meryl Streep,2016,111,6.9,31776,27.37,71
376,Collide,Action,An American backpacker gets involved with a ring of drug smugglers as their driver though he winds up on the run from his employers across Cologne high-speed Autobahn.,Eran Creevy,Nicholas Hoult,2016,99,5.7,7583,2.2,33
377,Black Mass,Biography,The true story of Whitey Bulger the brother of a state senator and the most infamous violent criminal in the history of South Boston who became an FBI informant to take down a Mafia family invading his turf.,Scott Cooper,Johnny Depp,2015,123,6.9,135706,62.56,68
378,Creed,Drama,The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson the son of his late friend and former rival Apollo Creed.,Ryan Coogler,Michael B. Jordan,2015,133,7.6,175673,109.71,82
379,Swiss Army Man,Adventure,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.,Dan Kwan,Paul Dano,2016,97,7.1,61812,4.21,64
380,The Expendables 3,Action,Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.,Patrick Hughes,Sylvester Stallone,2014,126,6.1,137568,39.29,35
381,What We Do in the Shadows,Comedy,A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington New Zealand. Turns out vampires have their own domestic problems too.,Jemaine Clement,Jemaine Clement,2014,86,7.6,84016,3.33,76
382,Southpaw,Drama,Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services.,Antoine Fuqua,Jake Gyllenhaal,2015,124,7.4,169083,52.42,57
383,Hush,Horror,A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,Mike Flanagan,John Gallagher Jr.,2016,81,6.6,45867,0.5,67
384,Bridge of Spies,Drama,During the Cold War an American lawyer is recruited to defend an arrested Soviet spy in court and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot Francis Gary Powers.,Steven Spielberg,Tom Hanks,2015,142,7.6,217938,72.31,81
385,The Lego Movie,Animation,An ordinary Lego construction worker thought to be the prophesied 'Special' is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.,Phil Lord,Chris Pratt,2014,100,7.8,266508,257.76,83
386,Everest,Action,The story of New Zealand's Robert ""Rob"" Edwin Hall who on May 10 1996 together with Scott Fischer teamed up on a joint expedition to ascend Mount Everest.,Baltasar Kormákur,Jason Clarke,2015,121,7.1,154647,43.25,64
387,Pixels,Action,When aliens misinterpret video feeds of classic arcade games as a declaration of war they attack the Earth in the form of the video games.,Chris Columbus,Adam Sandler,2015,105,5.6,101092,78.75,27
388,Robin Hood,Action,In 12th century England Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.,Ridley Scott,Russell Crowe,2010,140,6.7,221117,105.22,53
389,The Wolverine,Action,When Wolverine is summoned to Japan by an old acquaintance he is embroiled in a conflict that forces him to confront his own demons.,James Mangold,Hugh Jackman,2013,126,6.7,355362,132.55,60
390,John Carter,Action,Transported to Barsoom a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures he escapes only to encounter Woola and a princess in desperate need of a savior.,Andrew Stanton,Taylor Kitsch,2012,132,6.6,220667,73.06,51
391,Keanu,Action,When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins they will have to go through gangs hitmen and drug dealers who claim him in order to get him back.,Peter Atencio,Keegan-Michael Key,2016,100,6.3,31913,20.57,63
392,The Gunman,Action,A sniper on a mercenary assassination team kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later he becomes the target of a hit squad himself.,Pierre Morel,Sean Penn,2015,115,5.8,31194,10.64,39
393,Steve Jobs,Biography,Steve Jobs takes us behind the scenes of the digital revolution to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches ending in 1998 with the unveiling of the iMac.,Danny Boyle,Michael Fassbender,2015,122,7.2,116112,17.75,82
394,Whisky Galore,Comedy,Scottish islanders try to plunder cases of whisky from a stranded ship.,Gillies MacKinnon,Tim Pigott-Smith,2016,98,5,102,0.5,43
395,Grown Ups 2,Comedy,After moving his family back to his hometown to be with his friends and their kids,Dennis Dugan,Adam Sandler,2013,101,5.4,114482,133.67,19
396,The Age of Adaline,Drama,A young woman born at the turn of the 20th century is rendered ageless after an accident. After many solitary years she meets a man who complicates the eternal life she has settled into.,Lee Toland Krieger,Blake Lively,2015,112,7.2,112288,42.48,51
397,The Incredible Hulk,Action,Bruce Banner a scientist on the run from the U.S. Government must find a cure for the monster he emerges whenever he loses his temper.,Louis Leterrier,Edward Norton,2008,112,6.8,342355,134.52,61
398,Couples Retreat,Comedy,A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage,Peter Billingsley,Vince Vaughn,2009,113,5.5,86417,109.18,23
399,Absolutely Anything,Comedy,A group of eccentric aliens confer a human being with the power to do absolutely anything as an experiment.,Terry Jones,Simon Pegg,2015,85,6,26587,0.5,31
400,Magic Mike,Comedy,A male stripper teaches a younger performer how to party pick up women and make easy money.,Steven Soderbergh,Channing Tatum,2012,110,6.1,113686,113.71,72
401,Minions,Animation,Minions Stuart Kevin and Bob are recruited by Scarlet Overkill a super-villain who alongside her inventor husband Herb hatches a plot to take over the world.,Kyle Balda,Sandra Bullock,2015,91,6.4,159830,336.03,56
402,The Black Room,Horror,PAUL and JENNIFER HEMDALE have just moved into their dream house. But their happy marriage is about to be put to the test as they slowly discover the secret behind the black room in the ... See full summary »,Rolfe Kanefsky,Natasha Henstridge,2016,91,3.9,240,0.5,71
403,Bronson,Action,A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time his own personality is supplanted by his alter-ego Charles Bronson.,Nicolas Winding Refn,Tom Hardy,2008,92,7.1,93972,0.1,
404,Despicable Me,Animation,When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme he finds their love is profoundly changing him for the better.,Pierre Coffin,Steve Carell,2010,95,7.7,410607,251.5,72
